"uniprot_ac",entrez_id,uniprot_ac_reviewed
"P53365",23647,1
"Q13795",10139,1
"Q8N1W1",64283,1
"A8MVX0",100271715,1
"A5YM69",445328,1
"Q8N4T4",84904,1
"Q9HCE6",55160,1
"A6NJG6",503582,1
"P05089",383,1
"P78540",384,1
"Q9NWB6",55082,1
"A1IGU5",389337,1
"Q9NXL2",54848,1
"Q8TER5",55701,1
"Q92888",9138,1
"Q92974",9181,1
"Q9NR81",50650,1
"Q9NR80",101930241,1
"Q9NR80",50649,1
"Q12774",7984,1
"Q15052",9459,1
"Q14155",8874,1
"Q7Z628",10276,1
"O43307",23229,1
"O15013",9639,1
"O15085",9826,1
"Q9NZN5",23365,1
"O94989",22899,1
"Q5VV41",27237,1
"Q96PE2",9828,1
"Q6ZSZ5",23370,1
"Q8IW93",128272,1
"Q86VW2",115557,1
"Q96DR7",26084,1
"Q8NDY3",113622,1
"Q9NX46",54936,1
"Q5SW96",26119,1
"O14497",8289,1
"Q8NFD5",57492,1
"Q9Y4X5",25820,1
"Q8N7S6",646450,1
"O95376",10425,1
"Q99856",1820,1
"Q8IVW6",10620,1
"A6NKF2",138715,1
"P29374",5926,1
"Q4LE39",51742,1
"Q03989",10865,1
"Q14865",84159,1
"Q68CP9",196528,1
"Q9Y4B4",23132,1
"O43488",8574,1
"O95154",22977,1
"Q8N8L6",285598,1
"Q969Q4",115761,1
"Q8N4G2",80117,1
"Q9NXU5",54622,1
"Q0P5N6",339231,1
"Q8IVW1",100506084,1
"Q8IVW1",100996709,1
"Q8IVW1",51326,1
"P40616",400,1
"P36404",402,1
"P36405",403,1
"P40617",10124,1
"P56559",10123,1
"P49703",379,1
"Q9Y689",26225,1
"Q96KC2",221079,1
"A6NH57",390790,1
"Q9H0F7",84100,1
"Q96BM9",127829,1
"Q9NVJ2",55207,1
"Q6T311",132946,1
"P04424",435,1
"Q8N2F6",83787,1
"Q5T9G4",221481,1
"Q9NVT9",55156,1
"Q8NEN0",84071,1
"Q5W041",219681,1
"Q5T2S8",55130,1
"Q96C12",79798,1
"Q6NXE6",93436,1
"Q9H6L4",79637,1
"Q8IUR7",25852,1
"Q7Z3E5",80210,1
"P0C7Q2",387715,1
"Q9P291",51309,1
"Q7L311",9823,1
"Q9UH62",51566,1
"Q6P1M9",64860,1
"Q7L4S7",54470,1
"Q9HBZ2",9915,1
"P27540",405,1
"Q86WX3",91582,1
"Q9NZ32",55860,1
"P56211",10776,1
"Q9UBL0",10777,1
"P61160",10097,1
"Q9P1U1",57180,1
"Q9C0K3",653857,1
"P61158",10096,1
"Q9BPX5",81873,1
"Q9H9F9",79913,1
"Q9GZN1",64431,1
"Q9H981",93973,1
"O15144",10109,1
"O15145",10094,1
"P59998",100526693,1
"P59998",10093,1
"O15511",10092,1
"Q7Z6K5",100526783,1
"Q7Z6K5",348110,1
"P49407",408,1
"P32121",409,1
"P36575",407,1
"Q8N5I2",92714,1
"Q8TBH0",27106,1
"Q96B67",57561,1
"Q8NCT1",91947,1
"A6NEK1",645432,1
"P10523",6295,1
"P15289",410,1
"P15848",411,1
"P51690",415,1
"P51689",414,1
"P54793",416,1
"Q96EG1",22901,1
"Q5FYA8",347527,1
"Q5FYB1",340075,1
"Q5FYB0",79642,1
"Q6UWY0",153642,1
"Q5T4W7",9048,1
"Q9H2C2",64801,1
"O00192",421,1
"Q96QS3",170302,1
"P18440",9,1
"P11245",10,1
"Q9HBK9",57412,1
"P0C7U1",653308,1
"Q13510",427,1
"Q9NR71",56624,1
"Q9ULH1",50807,1
"O43150",8853,1
"Q8TDY4",55616,1
"Q8WXI3",136371,1
"Q8WXH4",140456,1
"Q8WXK4",142689,1
"Q8WXK3",79754,1
"A6NK59",142686,1
"Q8WXK1",142685,1
"Q96NS5",92591,1
"Q8WXJ9",127247,1
"Q6ZVZ8",401036,1
"Q9Y576",51665,1
"Q96Q27",51676,1
"Q9Y575",100302652,1
"Q9Y575",51130,1
"Q9Y574",51666,1
"Q8WWX0",140458,1
"Q9NWX5",140459,1
"Q9H672",140460,1
"Q9H765",140461,1
"Q96DX5",140462,1
"Q8N9N2",51008,1
"Q9H1I8",84164,1
"Q8N3C0",10973,1
"P50553",429,1
"Q99929",430,1
"Q9NQ33",56676,1
"Q6XD76",121549,1
"Q7RTU5",647219,1
"Q9ULZ3",29108,1
"Q9Y294",25842,1
"Q9NVP2",55723,1
"Q7L266",80150,1
"P07306",432,1
"P07307",433,1
"Q9NR48",55870,1
"Q9UBL3",9070,1
"Q9BVC5",79074,1
"P78348",41,1
"Q16515",40,1
"Q9UHC3",9311,1
"Q96FT7",55515,1
"Q9NY37",51802,1
"P42127",434,1
"Q92484",10924,1
"Q92485",27293,1
"O95671",8623,1
"P46597",438,1
"P17405",6609,1
"O43681",439,1
